,word,segmentation,morph_structure
8114,ghọziri,ghọ + zi + ri,"[['gh', 'ọ'], ['z', 'i'], ['r', 'i']]"
8115,ghọọ,ghọ + ọ,"[['gh', 'ọ'], ['ọ']]"
8116,ghọọla,ghọ + ọ + la,"[['gh', 'ọ'], ['ọ'], ['l', 'a']]"
8117,ghọọrọ,ghọ + ọ + rọ,"[['gh', 'ọ'], ['ọ'], ['r', 'ọ']]"
8118,ghụpụ,ghụ + pụ,"[['gh', 'ụ'], ['p', 'ụ']]"
8119,ghụọ,ghụ + ọ,"[['gh', 'ụ'], ['ọ']]"
8120,gidigbaa,gidi + gba + a,"[['g', 'i', 'd', 'i'], ['gb', 'a'], ['a']]"
8121,gidigbam,gidi + gba + m,"[['g', 'i', 'd', 'i'], ['gb', 'a'], ['m']]"
8122,gidigidi,gidigidi,"[['g', 'i', 'd', 'i', 'g', 'i', 'd', 'i']]"
8123,gimenez,gimenez,"[['g', 'i', 'm', 'e', 'n', 'e', 'z']]"
8124,gini,gịnị,"[['g', 'ị', 'n', 'ị']]"
8125,gininwa,gịnị + nwa,"[['g', 'ị', 'n', 'ị'], ['nw', 'a']]"
8126,ginị,gịnị,"[['g', 'ị', 'n', 'ị']]"
8127,ginịdị,gịnị + dị,"[['g', 'ị', 'n', 'ị'], ['d', 'ị']]"
8128,godi,godị,"[['g', 'o', 'd', 'ị']]"
8129,godu,godu,"[['g', 'o', 'd', 'u']]"
8130,gokwara,go + kwa + ra,"[['g', 'o'], ['kw', 'a'], ['r', 'a']]"
8131,gokọta,go + kọ + ta,"[['g', 'o'], ['k', 'ọ'], ['t', 'a']]"
8132,gola,go + la,"[['g', 'o'], ['l', 'a']]"
8133,golayat,golayat,"[['g', 'o', 'l', 'a', 'y', 'a', 't']]"
8134,golii,goli + i,"[['g', 'o', 'l', 'i'], ['i']]"
8135,golo,golo,"[['g', 'o', 'l', 'o']]"
8136,golu,go + lu,"[['g', 'o'], ['l', 'u']]"
8137,golụ,go + lụ,"[['g', 'o'], ['l', 'ụ']]"
8138,gomeenti,gọọmenti,"[['g', 'ọ', 'ọ', 'm', 'e', 'n', 't', 'i']]"
8139,gomeentị,gọọmentị,"[['g', 'ọ', 'ọ', 'm', 'e', 'n', 't', 'ị']]"
8140,gool,goolu,"[['g', 'o', 'o', 'l', 'u']]"
8141,goolo,goolo,"[['g', 'o', 'o', 'l', 'o']]"
8142,goolu,goolu,"[['g', 'o', 'o', 'l', 'u']]"
8143,goolụ,goolụ,"[['g', 'o', 'o', 'l', 'ụ']]"
8144,goomenti,gọọmenti,"[['g', 'ọ', 'ọ', 'm', 'e', 'n', 't', 'i']]"
8145,goomentị,gọọmentị,"[['g', 'ọ', 'ọ', 'm', 'e', 'n', 't', 'ị']]"
8146,goorola,go + o + ro + la,"[['g', 'o'], ['o'], ['r', 'o'], ['l', 'a']]"
8147,goosiri,go + o + si + ri,"[['g', 'o'], ['o'], ['s', 'i'], ['r', 'i']]"
8148,goro,go + ro,"[['g', 'o'], ['r', 'o']]"
8149,gosi,go + si,"[['g', 'o'], ['s', 'i']]"
8150,gosiburu,go + si + bu + ru,"[['g', 'o'], ['s', 'i'], ['b', 'u'], ['r', 'u']]"
8151,gosichara,go + si + cha + ra,"[['g', 'o'], ['s', 'i'], ['ch', 'a'], ['r', 'a']]"
8152,gosidịrị,go + si + dị + rị,"[['g', 'o'], ['s', 'i'], ['d', 'ị'], ['r', 'ị']]"
8153,gosighi,go + si + ghi,"[['g', 'o'], ['s', 'i'], ['gh', 'i']]"
8154,gosighị,go + si + ghị,"[['g', 'o'], ['s', 'i'], ['gh', 'ị']]"
8155,gosigodị,go + si + godị,"[['g', 'o'], ['s', 'i'], ['g', 'o', 'd', 'ị']]"
8156,gosikwa,go + si + kwa,"[['g', 'o'], ['s', 'i'], ['kw', 'a']]"
8157,gosikwanụ,go + si + kwa + nụ,"[['g', 'o'], ['s', 'i'], ['kw', 'a'], ['n', 'ụ']]"
8158,gosikwara,go + si + kwa + ra,"[['g', 'o'], ['s', 'i'], ['kw', 'a'], ['r', 'a']]"
8159,gosikwuo,go + si + kwu + o,"[['g', 'o'], ['s', 'i'], ['kw', 'u'], ['o']]"
8160,gosila,go + si + la,"[['g', 'o'], ['s', 'i'], ['l', 'a']]"
8161,gosina,go + si + na,"[['g', 'o'], ['s', 'i'], ['n', 'a']]"
8162,gosinụ,go + si + nụ,"[['g', 'o'], ['s', 'i'], ['n', 'ụ']]"
8163,gosiopụta,go + si + o + pụ + ta,"[['g', 'o'], ['s', 'i'], ['o'], ['p', 'ụ'], ['t', 'a']]"
8164,gosiputa,go + si + pu + ta,"[['g', 'o'], ['s', 'i'], ['p', 'u'], ['t', 'a']]"
8165,gosiputakwara,go + si + pu + ta + kwa + ra,"[['g', 'o'], ['s', 'i'], ['p', 'u'], ['t', 'a'], ['kw', 'a'], ['r', 'a']]"
8166,gosiputara,go + si + pu + ta + ra,"[['g', 'o'], ['s', 'i'], ['p', 'u'], ['t', 'a'], ['r', 'a']]"
8167,gosiputazịkwara,go + si + pu + ta + zị + kwa + ra,"[['g', 'o'], ['s', 'i'], ['p', 'u'], ['t', 'a'], ['z', 'ị'], ['kw', 'a'], ['r', 'a']]"
8168,gosiputere,go + si + pu + te + re,"[['g', 'o'], ['s', 'i'], ['p', 'u'], ['t', 'e'], ['r', 'e']]"
8169,gosipụta,go + si + pụ + ta,"[['g', 'o'], ['s', 'i'], ['p', 'ụ'], ['t', 'a']]"
8170,gosipụtagoro,go + si + pụ + ta + go + ro,"[['g', 'o'], ['s', 'i'], ['p', 'ụ'], ['t', 'a'], ['g', 'o'], ['r', 'o']]"
8171,gosipụtakwa,go + si + pụ + ta + kwa,"[['g', 'o'], ['s', 'i'], ['p', 'ụ'], ['t', 'a'], ['kw', 'a']]"
8172,gosipụtakwara,go + si + pụ + ta + kwa + ra,"[['g', 'o'], ['s', 'i'], ['p', 'ụ'], ['t', 'a'], ['kw', 'a'], ['r', 'a']]"
8173,gosipụtara,go + si + pụ + ta + ra,"[['g', 'o'], ['s', 'i'], ['p', 'ụ'], ['t', 'a'], ['r', 'a']]"
8174,gosipụtawa,go + si + pụ + ta + wa,"[['g', 'o'], ['s', 'i'], ['p', 'ụ'], ['t', 'a'], ['w', 'a']]"
8175,gosipụtazie,go + si + pụ + ta + zi + e,"[['g', 'o'], ['s', 'i'], ['p', 'ụ'], ['t', 'a'], ['z', 'i'], ['e']]"
8176,gosipụtazịkwara,go + si + pụ + ta + zị + kwa + ra,"[['g', 'o'], ['s', 'i'], ['p', 'ụ'], ['t', 'a'], ['z', 'ị'], ['kw', 'a'], ['r', 'a']]"
8177,gosiri,go + si + ri,"[['g', 'o'], ['s', 'i'], ['r', 'i']]"
8178,gosirila,go + si + ri + la,"[['g', 'o'], ['s', 'i'], ['r', 'i'], ['l', 'a']]"
8179,gositụ,go + si + tụ,"[['g', 'o'], ['s', 'i'], ['t', 'ụ']]"
8180,gositụrụ,go + si + tụ + rụ,"[['g', 'o'], ['s', 'i'], ['t', 'ụ'], ['r', 'ụ']]"
8181,gosiwe,go + si + we,"[['g', 'o'], ['s', 'i'], ['w', 'e']]"
8182,gosizie,go + si + zi + e,"[['g', 'o'], ['s', 'i'], ['z', 'i'], ['e']]"
8183,gosị,go + sị,"[['g', 'o'], ['s', 'ị']]"
8184,gosịpụta,go + sị + pụ + ta,"[['g', 'o'], ['s', 'ị'], ['p', 'ụ'], ['t', 'a']]"
8185,gosịpụtara,go + sị + pụ + ta + ra,"[['g', 'o'], ['s', 'ị'], ['p', 'ụ'], ['t', 'a'], ['r', 'a']]"
8186,gosịrị,go + sị + rị,"[['g', 'o'], ['s', 'ị'], ['r', 'ị']]"
8187,gotara,go + ta + ra,"[['g', 'o'], ['t', 'a'], ['r', 'a']]"
8188,gote,go + te,"[['g', 'o'], ['t', 'e']]"
8189,gotere,go + te + re,"[['g', 'o'], ['t', 'e'], ['r', 'e']]"
8190,gova,gọvanọ,"[['g', 'ọ', 'v', 'a', 'n', 'ọ']]"
8191,govano,gọvanọ,"[['g', 'ọ', 'v', 'a', 'n', 'ọ']]"
8192,govanọ,gọvanọ,"[['g', 'ọ', 'v', 'a', 'n', 'ọ']]"
8193,gozie,go + zi + e,"[['g', 'o'], ['z', 'i'], ['e']]"
8194,goọmentị,gọọmentị,"[['g', 'ọ', 'ọ', 'm', 'e', 'n', 't', 'ị']]"
8195,gud,gud,"[['g', 'u', 'd']]"
8196,gufuru,gu + fu + ru,"[['g', 'u'], ['f', 'u'], ['r', 'u']]"
8197,gugbue,gu + gbu + e,"[['g', 'u'], ['gb', 'u'], ['e']]"
8198,gunyere,gu + nye + re,"[['g', 'u'], ['ny', 'e'], ['r', 'e']]"
8199,guo,gu + o,"[['g', 'u'], ['o']]"
8200,gurue,gu + ru + e,"[['g', 'u'], ['r', 'u'], ['e']]"
8201,gurụ,gu + rụ,"[['g', 'u'], ['r', 'ụ']]"
8202,gusie,gu + si + e,"[['g', 'u'], ['s', 'i'], ['e']]"
8203,guziere,gu + zi + e + re,"[['g', 'u'], ['z', 'i'], ['e'], ['r', 'e']]"
8204,guzo,guzo,"[['g', 'u', 'z', 'o']]"
8205,guzobe,guzo + be,"[['g', 'u', 'z', 'o'], ['b', 'e']]"
8206,guzobere,guzo + be + re,"[['g', 'u', 'z', 'o'], ['b', 'e'], ['r', 'e']]"
8207,guzogidenụ,guzo + gide + nụ,"[['g', 'u', 'z', 'o'], ['g', 'i', 'd', 'e'], ['n', 'ụ']]"
8208,guzoro,guzo + ro,"[['g', 'u', 'z', 'o'], ['r', 'o']]"
8209,guzosie,guzo + si + e,"[['g', 'u', 'z', 'o'], ['s', 'i'], ['e']]"
8210,guzosighị,guzo + si + ghị,"[['g', 'u', 'z', 'o'], ['s', 'i'], ['gh', 'ị']]"
8211,guzosikwara,guzo + si + kwa + ra,"[['g', 'u', 'z', 'o'], ['s', 'i'], ['kw', 'a'], ['r', 'a']]"
8212,guzozie,guzo + zi + e,"[['g', 'u', 'z', 'o'], ['z', 'i'], ['e']]"
8213,gwa,gwa,"[['gw', 'a']]"
8214,gwaa,gwa + a,"[['gw', 'a'], ['a']]"
8215,gwabeghi,gwa + be + ghi,"[['gw', 'a'], ['b', 'e'], ['gh', 'i']]"
8216,gwaburu,gwa + bu + ru,"[['gw', 'a'], ['b', 'u'], ['r', 'u']]"
8217,gwacha,gwa + cha,"[['gw', 'a'], ['ch', 'a']]"
8218,gwachaa,gwa + cha + a,"[['gw', 'a'], ['ch', 'a'], ['a']]"
8219,gwachara,gwa + cha + ra,"[['gw', 'a'], ['ch', 'a'], ['r', 'a']]"
8220,gwadịrị,gwa + dị + rị,"[['gw', 'a'], ['d', 'ị'], ['r', 'ị']]"
8221,gwagburu,gwa + gbu + ru,"[['gw', 'a'], ['gb', 'u'], ['r', 'u']]"
8222,gwaghị,gwa + ghị,"[['gw', 'a'], ['gh', 'ị']]"
8223,gwaghịkwa,gwa + ghị + kwa,"[['gw', 'a'], ['gh', 'ị'], ['kw', 'a']]"
8224,gwagodị,gwa + godị,"[['gw', 'a'], ['g', 'o', 'd', 'ị']]"
8225,gwakara,gwa + ka + ra,"[['gw', 'a'], ['k', 'a'], ['r', 'a']]"
8226,gwakwa,gwa + kwa,"[['gw', 'a'], ['kw', 'a']]"
8227,gwakwala,gwa + kwa + la,"[['gw', 'a'], ['kw', 'a'], ['l', 'a']]"
8228,gwakwara,gwa + kwa + ra,"[['gw', 'a'], ['kw', 'a'], ['r', 'a']]"
8229,gwakwazie,gwa + kwa + zi + e,"[['gw', 'a'], ['kw', 'a'], ['z', 'i'], ['e']]"
8230,gwakwuo,gwa + kwu + o,"[['gw', 'a'], ['kw', 'u'], ['o']]"
8231,gwakọrita,gwa + kọ + rị + ta,"[['gw', 'a'], ['k', 'ọ'], ['r', 'ị'], ['t', 'a']]"
8232,gwakọtara,gwa + kọ + ta + ra,"[['gw', 'a'], ['k', 'ọ'], ['t', 'a'], ['r', 'a']]"
8233,gwakọọ,gwa + kọ + ọ,"[['gw', 'a'], ['k', 'ọ'], ['ọ']]"
8234,gwala,gwa + la,"[['gw', 'a'], ['l', 'a']]"
8235,gwanụ,gwa + nụ,"[['gw', 'a'], ['n', 'ụ']]"
8236,gwara,gwa + ra,"[['gw', 'a'], ['r', 'a']]"
8237,gwatụbeghịkwa,gwa + tụ + be + ghị + kwa,"[['gw', 'a'], ['t', 'ụ'], ['b', 'e'], ['gh', 'ị'], ['kw', 'a']]"
8238,gwatụrụ,gwa + tụ + rụ,"[['gw', 'a'], ['t', 'ụ'], ['r', 'ụ']]"
8239,gwawa,gwa + wa,"[['gw', 'a'], ['w', 'a']]"
8240,gwazie,gwa + zi + e,"[['gw', 'a'], ['z', 'i'], ['e']]"
8241,gwaziekwa,gwa + zi + e + kwa,"[['gw', 'a'], ['z', 'i'], ['e'], ['kw', 'a']]"
8242,gwaziri,gwa + zi + ri,"[['gw', 'a'], ['z', 'i'], ['r', 'i']]"
8243,gwu,gwu,"[['gw', 'u']]"
8244,gwube,gwu + be,"[['gw', 'u'], ['b', 'e']]"
8245,gwubezie,gwu + be + zi + e,"[['gw', 'u'], ['b', 'e'], ['z', 'i'], ['e']]"
8246,gwucha,gwu + cha,"[['gw', 'u'], ['ch', 'a']]"
8247,gwuchara,gwu + cha + ra,"[['gw', 'u'], ['ch', 'a'], ['r', 'a']]"
8248,gwukọọ,gwu + kọ + ọ,"[['gw', 'u'], ['k', 'ọ'], ['ọ']]"
8249,gwumie,gwu + mi + e,"[['gw', 'u'], ['m', 'i'], ['e']]"
8250,gwunyere,gwu + nye + re,"[['gw', 'u'], ['ny', 'e'], ['r', 'e']]"
8251,gwuo,gwu + o,"[['gw', 'u'], ['o']]"
8252,gwupuru,gwu + pu + ru,"[['gw', 'u'], ['p', 'u'], ['r', 'u']]"
8253,gwuputara,gwu + pu + ta + ra,"[['gw', 'u'], ['p', 'u'], ['t', 'a'], ['r', 'a']]"
8254,gwupụtara,gwu + pụ + ta + ra,"[['gw', 'u'], ['p', 'ụ'], ['t', 'a'], ['r', 'a']]"
8255,gwupụtarala,gwu + pụ + ta + ra + la,"[['gw', 'u'], ['p', 'ụ'], ['t', 'a'], ['r', 'a'], ['l', 'a']]"
8256,gwuru,gwu + ru,"[['gw', 'u'], ['r', 'u']]"
8257,gwute,gwu + te,"[['gw', 'u'], ['t', 'e']]"
8258,gwutere,gwu + te + re,"[['gw', 'u'], ['t', 'e'], ['r', 'e']]"
8259,gwuwere,gwu + we + re,"[['gw', 'u'], ['w', 'e'], ['r', 'e']]"
8260,gwọ,gwọ,"[['gw', 'ọ']]"
8261,gwọdịrị,gwọ + dị + rị,"[['gw', 'ọ'], ['d', 'ị'], ['r', 'ị']]"
8262,gwọkwara,gwọ + kwa + ra,"[['gw', 'ọ'], ['kw', 'a'], ['r', 'a']]"
8263,gwọmpụtụ,gwọmpụtụ,"[['gw', 'ọ', 'm', 'p', 'ụ', 't', 'ụ']]"
8264,gwọrọ,gwọ + rọ,"[['gw', 'ọ'], ['r', 'ọ']]"
8265,gwọtara,gwọ + ta + ra,"[['gw', 'ọ'], ['t', 'a'], ['r', 'a']]"
8266,gwọwa,gwọ + wa,"[['gw', 'ọ'], ['w', 'a']]"
8267,gwọọ,gwọ + ọ,"[['gw', 'ọ'], ['ọ']]"
8268,gwọọla,gwọ + ọ + la,"[['gw', 'ọ'], ['ọ'], ['l', 'a']]"
8269,gwụ,gwụ,"[['gw', 'ụ']]"
8270,gwụchaa,gwụ + cha + a,"[['gw', 'ụ'], ['ch', 'a'], ['a']]"
8271,gwụchara,gwụ + cha + ra,"[['gw', 'ụ'], ['ch', 'a'], ['r', 'a']]"
8272,gwụghịkwa,gwụ + ghị + kwa,"[['gw', 'ụ'], ['gh', 'ị'], ['kw', 'a']]"
8273,gwụkwala,gwụ + kwa + la,"[['gw', 'ụ'], ['kw', 'a'], ['l', 'a']]"
8274,gwụla,gwụ + la,"[['gw', 'ụ'], ['l', 'a']]"
8275,gwụnahụrụ,gwụ + na + hụ + rụ,"[['gw', 'ụ'], ['n', 'a'], ['h', 'ụ'], ['r', 'ụ']]"
8276,gwụrụ,gwụ + rụ,"[['gw', 'ụ'], ['r', 'ụ']]"
8277,gwụrụla,gwụ + rụ + la,"[['gw', 'ụ'], ['r', 'ụ'], ['l', 'a']]"
8278,gwụsịwo,gwụ + sị + wo,"[['gw', 'ụ'], ['s', 'ị'], ['w', 'o']]"
8279,gwụwara,gwụ + wa + ra,"[['gw', 'ụ'], ['w', 'a'], ['r', 'a']]"
8280,gwụzie,gwụ + zi + e,"[['gw', 'ụ'], ['z', 'i'], ['e']]"
8281,gị,gị,"[['g', 'ị']]"
8282,gịnaịjirịa,gị + naịjirịa,"[['g', 'ị'], ['n', 'a', 'ị', 'j', 'i', 'r', 'ị', 'a']]"
8283,gịnwa,gịnwa,"[['g', 'ị', 'nw', 'a']]"
8284,gịnwakwa,gịnwa + kwa,"[['g', 'ị', 'nw', 'a'], ['kw', 'a']]"
8285,gịnị,gịnị,"[['g', 'ị', 'n', 'ị']]"
8286,gịnịdị,gịnị + dị,"[['g', 'ị', 'n', 'ị'], ['d', 'ị']]"
8287,gịnịkwa,gịnị + kwa,"[['g', 'ị', 'n', 'ị'], ['kw', 'a']]"
8288,gịnịkwanụ,gịnị + kwa + nụ,"[['g', 'ị', 'n', 'ị'], ['kw', 'a'], ['n', 'ụ']]"
8289,gịnịzi,gịnị + zi,"[['g', 'ị', 'n', 'ị'], ['z', 'i']]"
8290,gịrịgịrị,gịrịgịrị,"[['g', 'ị', 'r', 'ị', 'g', 'ị', 'r', 'ị']]"
8291,gọlgọta,gọlgọta,"[['g', 'ọ', 'l', 'g', 'ọ', 't', 'a']]"
8292,gọm,gọm,"[['g', 'ọ', 'm']]"
8293,gọmenti,gọọmenti,"[['g', 'ọ', 'ọ', 'm', 'e', 'n', 't', 'i']]"
8294,gọmentị,gọọmentị,"[['g', 'ọ', 'ọ', 'm', 'e', 'n', 't', 'ị']]"
8295,gọmmenti,gọọmenti,"[['g', 'ọ', 'ọ', 'm', 'e', 'n', 't', 'i']]"
8296,gọmmentị,gọọmentị,"[['g', 'ọ', 'ọ', 'm', 'e', 'n', 't', 'ị']]"
8297,gọmọra,gọmọra,"[['g', 'ọ', 'm', 'ọ', 'r', 'a']]"
8298,gọnarị,gọ + na + rị,"[['g', 'ọ'], ['n', 'a'], ['r', 'ị']]"
8299,gọnarịrị,gọ + na + rị + rị,"[['g', 'ọ'], ['n', 'a'], ['r', 'ị'], ['r', 'ị']]"
8300,gọrọ,gọ + rọ,"[['g', 'ọ'], ['r', 'ọ']]"
8301,gọrọkwara,gọ + rọ + kwa + ra,"[['g', 'ọ'], ['r', 'ọ'], ['kw', 'a'], ['r', 'a']]"
8302,gọrọla,gọ + rọ + la,"[['g', 'ọ'], ['r', 'ọ'], ['l', 'a']]"
8303,gọsigasịa,gọ + si + ga + sị + a,"[['g', 'ọ'], ['s', 'i'], ['g', 'a'], ['s', 'ị'], ['a']]"
8304,gọsiri,gọ + si + ri,"[['g', 'ọ'], ['s', 'i'], ['r', 'i']]"
8305,gọvano,gọvanọ,"[['g', 'ọ', 'v', 'a', 'n', 'ọ']]"
8306,gọvanọ,gọvanọ,"[['g', 'ọ', 'v', 'a', 'n', 'ọ']]"
8307,gọwa,gọ + wa,"[['g', 'ọ'], ['w', 'a']]"
8308,gọzie,gọ + zi + e,"[['g', 'ọ'], ['z', 'i'], ['e']]"
8309,gọziekwa,gọ + zi + e + kwa,"[['g', 'ọ'], ['z', 'i'], ['e'], ['kw', 'a']]"
8310,gọziekwanụ,gọ + zi + e + kwa + nụ,"[['g', 'ọ'], ['z', 'i'], ['e'], ['kw', 'a'], ['n', 'ụ']]"
8311,gọzikwara,gọ + zi + kwa + ra,"[['g', 'ọ'], ['z', 'i'], ['kw', 'a'], ['r', 'a']]"
8312,gọzikwuo,gọ + zi + kwu + o,"[['g', 'ọ'], ['z', 'i'], ['kw', 'u'], ['o']]"
8313,gọziri,gọ + zi + ri,"[['g', 'ọ'], ['z', 'i'], ['r', 'i']]"
8314,gọọ,gọ + ọ,"[['g', 'ọ'], ['ọ']]"
8315,gọọla,gọ + ọ + la,"[['g', 'ọ'], ['ọ'], ['l', 'a']]"
8316,gọọlu,goolu,"[['g', 'o', 'o', 'l', 'u']]"
8317,gọọlụ,goolu,"[['g', 'o', 'o', 'l', 'u']]"
8318,gọọmenti,gọọmenti,"[['g', 'ọ', 'ọ', 'm', 'e', 'n', 't', 'i']]"
8319,gọọmentị,gọọmentị,"[['g', 'ọ', 'ọ', 'm', 'e', 'n', 't', 'ị']]"
8320,gọọrọ,gọ + ọ + rọ,"[['g', 'ọ'], ['ọ'], ['r', 'ọ']]"
8321,gụ,gụ,"[['g', 'ụ']]"
8322,gụa,gụ + a,"[['g', 'ụ'], ['a']]"
8323,gụchaa,gụ + cha + a,"[['g', 'ụ'], ['ch', 'a'], ['a']]"
8324,gụchaala,gụ + cha + a + la,"[['g', 'ụ'], ['ch', 'a'], ['a'], ['l', 'a']]"
8325,gụchaarala,gụ + cha + a + ra + la,"[['g', 'ụ'], ['ch', 'a'], ['a'], ['r', 'a'], ['l', 'a']]"
8326,gụchara,gụ + cha + ra,"[['g', 'ụ'], ['ch', 'a'], ['r', 'a']]"
8327,gụdawa,gụ + da + wa,"[['g', 'ụ'], ['d', 'a'], ['w', 'a']]"
8328,gụfuru,gụ + fu + ru,"[['g', 'ụ'], ['f', 'u'], ['r', 'u']]"
8329,gụgbuo,gụ + gbu + o,"[['g', 'ụ'], ['gb', 'u'], ['o']]"
8330,gụgburu,gụ + gbu + ru,"[['g', 'ụ'], ['gb', 'u'], ['r', 'u']]"
8331,gụgharịa,gụ + gha + rị + a,"[['g', 'ụ'], ['gh', 'a'], ['r', 'ị'], ['a']]"
8332,gụgharịrị,gụ + gha + rị + rị,"[['g', 'ụ'], ['gh', 'a'], ['r', 'ị'], ['r', 'ị']]"
8333,gụgụọ,gụ + gụ + ọ,"[['g', 'ụ'], ['g', 'ụ'], ['ọ']]"
8334,gụkwaa,gụ + kwa + a,"[['g', 'ụ'], ['kw', 'a'], ['a']]"
8335,gụkwaara,gụ + kwa + a + ra,"[['g', 'ụ'], ['kw', 'a'], ['a'], ['r', 'a']]"
8336,gụkwara,gụ + kwa + ra,"[['g', 'ụ'], ['kw', 'a'], ['r', 'a']]"
8337,gụkwuo,gụ + kwu + o,"[['g', 'ụ'], ['kw', 'u'], ['o']]"
8338,gụkọrọ,gụ + kọ + rọ,"[['g', 'ụ'], ['k', 'ọ'], ['r', 'ọ']]"
8339,gụkọta,gụ + kọ + ta,"[['g', 'ụ'], ['k', 'ọ'], ['t', 'a']]"
8340,gụkọọ,gụ + kọ + ọ,"[['g', 'ụ'], ['k', 'ọ'], ['ọ']]"
8341,gụnyeere,gụ + nye + e + re,"[['g', 'ụ'], ['ny', 'e'], ['e'], ['r', 'e']]"
8342,gụnyekwara,gụ + nye + kwa + ra,"[['g', 'ụ'], ['ny', 'e'], ['kw', 'a'], ['r', 'a']]"
8343,gụnyere,gụ + nye + re,"[['g', 'ụ'], ['ny', 'e'], ['r', 'e']]"
8344,gụo,gụ + o,"[['g', 'ụ'], ['o']]"
8345,gụpụ,gụ + pụ,"[['g', 'ụ'], ['p', 'ụ']]"
8346,gụpụrụ,gụ + pụ + rụ,"[['g', 'ụ'], ['p', 'ụ'], ['r', 'ụ']]"
8347,gụpụta,gụ + pụ + ta,"[['g', 'ụ'], ['p', 'ụ'], ['t', 'a']]"
8348,gụpụtaara,gụ + pụ + ta + a + ra,"[['g', 'ụ'], ['p', 'ụ'], ['t', 'a'], ['a'], ['r', 'a']]"
8349,gụpụtachara,gụ + pụ + ta + cha + ra,"[['g', 'ụ'], ['p', 'ụ'], ['t', 'a'], ['ch', 'a'], ['r', 'a']]"
8350,gụpụtala,gụ + pụ + ta + la,"[['g', 'ụ'], ['p', 'ụ'], ['t', 'a'], ['l', 'a']]"
8351,gụpụtara,gụ + pụ + ta + ra,"[['g', 'ụ'], ['p', 'ụ'], ['t', 'a'], ['r', 'a']]"
8352,gụpụtarala,gụ + pụ + ta + ra + la,"[['g', 'ụ'], ['p', 'ụ'], ['t', 'a'], ['r', 'a'], ['l', 'a']]"
8353,gụpụtasịrị,gụ + pụ + ta + sị + rị,"[['g', 'ụ'], ['p', 'ụ'], ['t', 'a'], ['s', 'ị'], ['r', 'ị']]"
8354,gụpụtazie,gụ + pụ + ta + zi + e,"[['g', 'ụ'], ['p', 'ụ'], ['t', 'a'], ['z', 'i'], ['e']]"
8355,gụru,gụ + ru,"[['g', 'ụ'], ['r', 'u']]"
8356,gụrụ,gụ + rụ,"[['g', 'ụ'], ['r', 'ụ']]"
8357,gụrụla,gụ + rụ + la,"[['g', 'ụ'], ['r', 'ụ'], ['l', 'a']]"
8358,gụsie,gụ + si + e,"[['g', 'ụ'], ['s', 'i'], ['e']]"
8359,gụsiri,gụ + si + ri,"[['g', 'ụ'], ['s', 'i'], ['r', 'i']]"
8360,gụsịa,gụ + sị + a,"[['g', 'ụ'], ['s', 'ị'], ['a']]"
8361,gụta,gụ + ta,"[['g', 'ụ'], ['t', 'a']]"
8362,gụtakwa,gụ + ta + kwa,"[['g', 'ụ'], ['t', 'a'], ['kw', 'a']]"
8363,gụtara,gụ + ta + ra,"[['g', 'ụ'], ['t', 'a'], ['r', 'a']]"
8364,gụtụ,gụ + tụ,"[['g', 'ụ'], ['t', 'ụ']]"
8365,gụtụnụ,gụ + tụ + nụ,"[['g', 'ụ'], ['t', 'ụ'], ['n', 'ụ']]"
8366,gụwa,gụ + wa,"[['g', 'ụ'], ['w', 'a']]"
8367,gụwara,gụ + wa + ra,"[['g', 'ụ'], ['w', 'a'], ['r', 'a']]"
8368,gụwazie,gụ + wa + zi + e,"[['g', 'ụ'], ['w', 'a'], ['z', 'i'], ['e']]"
8369,gụwaziri,gụ + wa + zi + ri,"[['g', 'ụ'], ['w', 'a'], ['z', 'i'], ['r', 'i']]"
8370,gụwo,gụ + wo,"[['g', 'ụ'], ['w', 'o']]"
8371,gụyere,gụ + ye + re,"[['g', 'ụ'], ['y', 'e'], ['r', 'e']]"
8372,gụzie,gụ + zi + e,"[['g', 'ụ'], ['z', 'i'], ['e']]"
8373,gụọ,gụ + ọ,"[['g', 'ụ'], ['ọ']]"
8374,gụọkwa,gụ + ọ + kwa,"[['g', 'ụ'], ['ọ'], ['kw', 'a']]"
8375,gụọla,gụ + ọ + la,"[['g', 'ụ'], ['ọ'], ['l', 'a']]"
8376,gụọnụ,gụ + ọ + nụ,"[['g', 'ụ'], ['ọ'], ['n', 'ụ']]"
8377,gụọrọ,gụ + ọ + rọ,"[['g', 'ụ'], ['ọ'], ['r', 'ọ']]"
8378,gụụrụ,gụ + ụ + rụ,"[['g', 'ụ'], ['ụ'], ['r', 'ụ']]"
8379,ha,ha,"[['h', 'a']]"
8380,haa,ha + a,"[['h', 'a'], ['a']]"
8381,habakọk,habakọk,"[['h', 'a', 'b', 'a', 'k', 'ọ', 'k']]"
8382,habidoro,ha + bi + do + ro,"[['h', 'a'], ['b', 'i'], ['d', 'o'], ['r', 'o']]"
8383,hadịka,ha + dịka,"[['h', 'a'], ['d', 'ị', 'k', 'a']]"
8384,hafee,ha + fe + e,"[['h', 'a'], ['f', 'e'], ['e']]"
8385,hafeela,ha + fe + e + la,"[['h', 'a'], ['f', 'e'], ['e'], ['l', 'a']]"
8386,hakachapụ,ha + ka + cha + pụ,"[['h', 'a'], ['k', 'a'], ['ch', 'a'], ['p', 'ụ']]"
8387,hakoro,ha + ko + ro,"[['h', 'a'], ['k', 'o'], ['r', 'o']]"
